panel,cohort_label,coord,n_parquet_cells,qc_status,structural_acceptability,sample_type,has_all_primary_inputs
AR,NAC2020,"[50075,13246]",6174.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[50194,11541]",4306.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[50233,9955]",1443.0,Unusable,Unusable,TURBT,True
AR,NAC2020,"[50543,18794]",5043.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[50662,17089]",6701.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[50781,15384]",6307.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[50900,11935]",4301.0,Unusable,Unusable,TURBT,True
AR,NAC2020,"[50900,8445]",4700.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[50908,6585]",6564.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[50940,13679]",7736.0,Borderline,Borderline,TURBT,True
AR,NAC2020,"[50979,10230]",8228.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[51304,18123]",6944.0,Acceptable,Acceptable,RC,True
AR,NAC2020,"[51582,15070]",7955.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[51859,13365]",3547.0,Unusable,Unusable,TURBT,True
AR,NAC2020,"[51978,11739]",1369.0,Unusable,Unusable,TURBT,True
AR,NAC2020,"[52176,10034]",6526.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[52223,18648]",6010.0,Unusable,Unusable,TURBT,True
AR,NAC2020,"[52406,17049]",6594.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[52605,15384]",7181.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[52605,8525]",7520.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[52612,6862]",4711.0,Unusable,Unusable,TURBT,True
AR,NAC2020,"[52644,13679]",5998.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[52684,10230]",6073.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[52724,12014]",7418.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[53009,18281]",6315.0,Borderline,Borderline,RC,True
AR,NAC2020,"[53128,16735]",4665.0,Acceptable,Acceptable,RC,True
AR,NAC2020,"[53326,15189]",3675.0,Unusable,Unusable,TURBT,True
AR,NAC2020,"[53604,11898]",4171.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[53802,10272]",2233.0,Unusable,Unusable,TURBT,True
AR,NAC2020,"[54032,18715]",8274.0,Borderline,Borderline,TURBT,True
AR,NAC2020,"[54191,17089]",6740.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[54230,8564]",8228.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[54310,15384]",5998.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[54389,10269]",5578.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[54389,13719]",6189.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[54528,12054]",6795.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[54714,18598]",4700.0,Borderline,Borderline,RC,True
AR,NAC2020,"[54754,16973]",4741.0,Acceptable,Acceptable,RC,True
AR,NAC2020,"[55071,13761]",3219.0,Unusable,Unusable,TURBT,True
AR,NAC2020,"[55229,12096]",5522.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[55428,10391]",4329.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[55546,8805]",2428.0,Unusable,Unusable,TURBT,True
AR,NAC2020,"[55745,7179]",6355.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[56340,17131]",4391.0,Acceptable,Acceptable,RC,True
AR,NAC2020,"[56538,15466]",4192.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[56776,13880]",3053.0,Unusable,Unusable,TURBT,True
AR,NAC2020,"[56895,12215]",738.0,Unusable,Unusable,TURBT,True
AR,NAC2020,"[57053,10550]",3996.0,Borderline,Borderline,TURBT,True
AR,NAC2020,"[57212,8884]",7845.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[57410,7259]",7190.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[57926,17330]",5369.0,Acceptable,Acceptable,RC,True
AR,NAC2020,"[58401,14118]",10252.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[58520,12413]",4399.0,Unusable,Unusable,TURBT,True
AR,NAC2020,"[58679,10788]",4352.0,Unusable,Unusable,TURBT,True
AR,NAC2020,"[58877,9083]",5744.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[58996,7378]",6891.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[59551,17528]",3851.0,Acceptable,Acceptable,RC,True
AR,NAC2020,"[60027,14158]",5893.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[60225,12572]",4041.0,Unusable,Unusable,TURBT,True
AR,NAC2020,"[60344,10867]",1671.0,Unusable,Unusable,TURBT,True
AR,NAC2020,"[60622,9202]",6933.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[61454,16100]",11572.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[61692,14435]",7700.0,Acceptable,Acceptable,TURBT,True
AR,NAC2020,"[61930,11065]",1056.0,Unusable,Unusable,TURBT,True
AR,NAC2020,"[61930,12691]",5590.0,Unusable,Unusable,TURBT,True
AR,NAC2020,"[62287,9360]",5755.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[33602,11372]",827.0,Unusable,Unusable,TURBT,True
AR,No-NAC,"[33682,7922]",9807.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[33801,12958]",5890.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[33801,9667]",4052.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[33880,14663]",5716.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[33880,16328]",5714.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[33880,17914]",6295.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[33880,6297]",2323.0,Unusable,Unusable,TURBT,True
AR,No-NAC,"[33999,19659]",2290.0,Unusable,Unusable,TURBT,True
AR,No-NAC,"[35426,11213]",2094.0,Unusable,Unusable,TURBT,True
AR,No-NAC,"[35426,7922]",6074.0,Unusable,Unusable,TURBT,True
AR,No-NAC,"[35426,9627]",4395.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[35466,12918]",4849.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[35466,14663]",7992.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[35466,16288]",7372.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[35466,6297]",4184.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[35506,18033]",6816.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[35559,19002]",4747.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[35585,19698]",4816.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[35639,20707]",9209.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[35758,17337]",6890.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[35797,15632]",5763.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[35916,13808]",5531.0,Acceptable,Acceptable,Unknown,False
AR,No-NAC,"[35956,12064]",7645.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[36154,10319]",6493.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[36392,6790]",9559.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[36511,5204]",3703.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[37171,12918]",1571.0,Unusable,Unusable,TURBT,True
AR,No-NAC,"[37171,6138]",7765.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[37210,11332]",3724.0,Unusable,Unusable,TURBT,True
AR,No-NAC,"[37210,14623]",5245.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[37210,7962]",5806.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[37210,9588]",7354.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[37250,16288]",8337.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[37250,17993]",8707.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[37304,20747]",7183.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[37344,19082]",6042.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[37369,19698]",6949.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[37423,17377]",7776.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[37542,15672]",5511.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[37581,13888]",5289.0,Acceptable,Acceptable,Unknown,False
AR,No-NAC,"[37700,12143]",7366.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[37899,10359]",6666.0,Borderline,Borderline,TURBT,True
AR,No-NAC,"[38176,6830]",3336.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[38374,5125]",3813.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[38876,11213]",2005.0,Unusable,Unusable,TURBT,True
AR,No-NAC,"[38955,12918]",4183.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[38955,7962]",3315.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[38955,9588]",4095.0,Borderline,Borderline,TURBT,True
AR,No-NAC,"[38995,14663]",4263.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[38995,16249]",6387.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[38995,17993]",10102.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[38995,6297]",6772.0,Borderline,Borderline,TURBT,True
AR,No-NAC,"[39034,19698]",6193.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[39088,20826]",3604.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[39128,19161]",6342.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[39167,17416]",6415.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[39247,15711]",7797.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[39405,14006]",4356.0,Acceptable,Acceptable,RC,True
AR,No-NAC,"[39485,12222]",6312.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[39683,10478]",5545.0,Acceptable,Acceptable,TURBT,True
AR,No-NAC,"[39722,8654]",3185.0,Borderline,Borderline,TURBT,True
AR,No-NAC,"[39960,6949]",2872.0,Unusable,Unusable,TURBT,True
