entity_id,branch,panel,cohort_label,sample_type,coord,qc_status,has_all_primary_inputs,n_parquet_cells,tissue_class,adjusted_area_percent
"TMA|AR|[50908,6585]",TMA,AR,NAC2020,TURBT,"[50908,6585]",Acceptable,True,6564.0,Epi,19.92198383950961
"TMA|AR|[50940,13679]",TMA,AR,NAC2020,TURBT,"[50940,13679]",Borderline,True,7736.0,Epi,39.89445157609471
"TMA|AR|[50979,10230]",TMA,AR,NAC2020,TURBT,"[50979,10230]",Acceptable,True,8228.0,Epi,11.139780121157731
"TMA|AR|[51582,15070]",TMA,AR,NAC2020,TURBT,"[51582,15070]",Acceptable,True,7955.0,Epi,84.79325353645265
"TMA|AR|[52176,10034]",TMA,AR,NAC2020,TURBT,"[52176,10034]",Acceptable,True,6526.0,Epi,40.297041855897874
"TMA|AR|[52406,17049]",TMA,AR,NAC2020,TURBT,"[52406,17049]",Acceptable,True,6594.0,Epi,76.06089666746584
"TMA|AR|[52605,15384]",TMA,AR,NAC2020,TURBT,"[52605,15384]",Acceptable,True,7181.0,Epi,44.02453718917735
"TMA|AR|[52605,8525]",TMA,AR,NAC2020,TURBT,"[52605,8525]",Acceptable,True,7520.0,Epi,77.1561135371179
"TMA|AR|[52644,13679]",TMA,AR,NAC2020,TURBT,"[52644,13679]",Acceptable,True,5998.0,Epi,46.35654745899435
"TMA|AR|[52684,10230]",TMA,AR,NAC2020,TURBT,"[52684,10230]",Acceptable,True,6073.0,Epi,83.04202305689847
"TMA|AR|[52724,12014]",TMA,AR,NAC2020,TURBT,"[52724,12014]",Acceptable,True,7418.0,Epi,76.61169415292355
"TMA|AR|[53604,11898]",TMA,AR,NAC2020,TURBT,"[53604,11898]",Acceptable,True,4171.0,Epi,51.75598153071219
"TMA|AR|[54032,18715]",TMA,AR,NAC2020,TURBT,"[54032,18715]",Borderline,True,8274.0,Epi,75.77244397294788
"TMA|AR|[54191,17089]",TMA,AR,NAC2020,TURBT,"[54191,17089]",Acceptable,True,6740.0,Epi,72.60622200702095
"TMA|AR|[54230,8564]",TMA,AR,NAC2020,TURBT,"[54230,8564]",Acceptable,True,8228.0,Epi,72.32927174837064
"TMA|AR|[54310,15384]",TMA,AR,NAC2020,TURBT,"[54310,15384]",Acceptable,True,5998.0,Epi,48.44091589000115
"TMA|AR|[54389,10269]",TMA,AR,NAC2020,TURBT,"[54389,10269]",Acceptable,True,5578.0,Epi,79.93329627570871
"TMA|AR|[54389,13719]",TMA,AR,NAC2020,TURBT,"[54389,13719]",Acceptable,True,6189.0,Epi,60.047281323877066
"TMA|AR|[54528,12054]",TMA,AR,NAC2020,TURBT,"[54528,12054]",Acceptable,True,6795.0,Epi,72.0669136634108
"TMA|AR|[55229,12096]",TMA,AR,NAC2020,TURBT,"[55229,12096]",Acceptable,True,5522.0,Epi,68.82975834917187
"TMA|AR|[55428,10391]",TMA,AR,NAC2020,TURBT,"[55428,10391]",Acceptable,True,4329.0,Epi,18.763862191335207
"TMA|AR|[55745,7179]",TMA,AR,NAC2020,TURBT,"[55745,7179]",Acceptable,True,6355.0,Epi,39.31923015746779
"TMA|AR|[56538,15466]",TMA,AR,NAC2020,TURBT,"[56538,15466]",Acceptable,True,4192.0,Epi,46.57514657514657
"TMA|AR|[57053,10550]",TMA,AR,NAC2020,TURBT,"[57053,10550]",Borderline,True,3996.0,Epi,61.30087952546533
"TMA|AR|[57212,8884]",TMA,AR,NAC2020,TURBT,"[57212,8884]",Acceptable,True,7845.0,Epi,19.38602220770738
"TMA|AR|[57410,7259]",TMA,AR,NAC2020,TURBT,"[57410,7259]",Acceptable,True,7190.0,Epi,30.152729472251632
"TMA|AR|[58401,14118]",TMA,AR,NAC2020,TURBT,"[58401,14118]",Acceptable,True,10252.0,Epi,31.80892929841227
"TMA|AR|[58877,9083]",TMA,AR,NAC2020,TURBT,"[58877,9083]",Acceptable,True,5744.0,Epi,21.25848077690568
"TMA|AR|[58996,7378]",TMA,AR,NAC2020,TURBT,"[58996,7378]",Acceptable,True,6891.0,Epi,56.20047908605123
"TMA|AR|[60027,14158]",TMA,AR,NAC2020,TURBT,"[60027,14158]",Acceptable,True,5893.0,Epi,8.865047995482778
"TMA|AR|[60622,9202]",TMA,AR,NAC2020,TURBT,"[60622,9202]",Acceptable,True,6933.0,Epi,9.54750427616234
"TMA|AR|[61454,16100]",TMA,AR,NAC2020,TURBT,"[61454,16100]",Acceptable,True,11572.0,Epi,36.702191354328825
