panel,cohort,sample_type,marker_combo,collapse_label,state,excluded_from_primary,n_cells,total_cells_panel_cohort,cell_fraction_within_panel_cohort
AR,NAC2020,RC,CD3+;CD8+;PD1-;PDL1+,cd8_t_cell,PDL1,False,879,856016,0.001026849965421207
AR,NAC2020,RC,CD3+;CD8+;PD1+;PDL1+,cd8_t_cell,PD1_PDL1,False,704,856016,0.00082241453430777
AR,NAC2020,RC,PD1+,stroma,PD1,False,426,856016,0.0004976542494532812
AR,NAC2020,RC,CD68+;PD1+,macrophage,PD1,False,194,856016,0.00022663127792003888
AR,NAC2020,RC,CD68+;PD1+;PDL1+,macrophage,PD1_PDL1,False,142,856016,0.0001658847498177604
AR,NAC2020,RC,CD3+;CD8+;PD1+,cd8_t_cell,PD1,False,141,856016,0.00016471654735425507
AR,NAC2020,RC,PD1+;PDL1+,stroma,PD1_PDL1,False,132,856016,0.00015420272518270687
AR,NAC2020,RC,CD3+;CD8+;PD1-,cd8_t_cell,None,False,43,856016,5.023270593073027e-05
AR,No-NAC,TURBT,PD1-,stroma,None,False,332487,1300090,0.25574152558669017
AR,No-NAC,TURBT,PD1-;PanCK+,tumor,None,False,283853,1300090,0.21833334615295863
AR,No-NAC,RC,PD1-,stroma,None,False,150970,1300090,0.11612272996484858
AR,No-NAC,RC,PD1-;PanCK+,tumor,None,False,89643,1300090,0.06895138028905691
AR,No-NAC,TURBT,PD1-;PDL1+,stroma,PDL1,False,88987,1300090,0.06844679983693437
AR,No-NAC,TURBT,CD68+;PD1-,macrophage,None,False,61841,1300090,0.047566706920290136
AR,No-NAC,TURBT,CD3+;PD1-,t_cell,None,False,59200,1300090,0.0455353090939858
AR,No-NAC,RC,PD1-;PDL1+,stroma,PDL1,False,29838,1300090,0.022950718796391018
AR,No-NAC,TURBT,CD3+;PD1-;PDL1+,t_cell,PDL1,False,29755,1300090,0.02288687706235722
AR,No-NAC,TURBT,CD68+;PD1-;PDL1+,macrophage,PDL1,False,27293,1300090,0.020993162011860717
AR,No-NAC,TURBT,PD1-;PDL1+;PanCK+,tumor,PDL1,False,26241,1300090,0.020183987262420294
AR,No-NAC,RC,CD68+;PD1-,macrophage,None,False,24013,1300090,0.01847025975124799
AR,No-NAC,RC,CD3+;PD1-,t_cell,None,False,11109,1300090,0.008544793052788654
AR,No-NAC,RC,PD1+,stroma,PD1,False,10441,1300090,0.008030982470444354
AR,No-NAC,RC,CD3+;PD1+,t_cell,PD1,False,9542,1300090,0.007339491881331293
AR,No-NAC,TURBT,CD3+;PD1+,t_cell,PD1,False,8949,1300090,0.006883369612872955
AR,No-NAC,RC,CD68+;PD1-;PDL1+,macrophage,PDL1,False,8017,1300090,0.0061664961656500705
AR,No-NAC,RC,PD1-;PDL1+;PanCK+,tumor,PDL1,False,6782,1300090,0.0052165619303279
AR,No-NAC,TURBT,PD1+,stroma,PD1,False,6375,1300090,0.004903506680306748
AR,No-NAC,TURBT,CD3+;CD8+;PD1-;PDL1+,cd8_t_cell,PDL1,False,6056,1300090,0.00465813905191179
AR,No-NAC,RC,CD3+;PD1-;PDL1+,t_cell,PDL1,False,4619,1300090,0.003552830957856764
AR,No-NAC,TURBT,CD3+;PD1+;PDL1+,t_cell,PD1_PDL1,False,3037,1300090,0.002335992123622211
AR,No-NAC,TURBT,CD3+;CD8+;PD1+;PDL1+,cd8_t_cell,PD1_PDL1,False,2656,1300090,0.002042935489081525
AR,No-NAC,RC,CD3+;PD1+;PDL1+,t_cell,PD1_PDL1,False,2643,1300090,0.0020329361813412918
AR,No-NAC,RC,CD3+;CD8+;PD1-;PDL1+,cd8_t_cell,PDL1,False,2312,1300090,0.0017783384227245806
AR,No-NAC,RC,PD1+;PDL1+,stroma,PD1_PDL1,False,2004,1300090,0.0015414317470328978
AR,No-NAC,RC,CD68+;PD1+,macrophage,PD1,False,1962,1300090,0.0015091262912567591
AR,No-NAC,RC,CD3+;CD8+;PD1+;PDL1+,cd8_t_cell,PD1_PDL1,False,1816,1300090,0.0013968263735587537
AR,No-NAC,TURBT,PD1+;PDL1+,stroma,PD1_PDL1,False,1805,1300090,0.0013883654208554793
AR,No-NAC,TURBT,CD68+;PD1+,macrophage,PD1,False,1118,1300090,0.0008599404656600697
AR,No-NAC,TURBT,CD3+;CD8+;PD1+,cd8_t_cell,PD1,False,1080,1300090,0.0008307117199578491
AR,No-NAC,TURBT,CD3+;CD8+;PD1-,cd8_t_cell,None,False,975,1300090,0.0007499480805175027
AR,No-NAC,RC,CD68+;PD1+;PDL1+,macrophage,PD1_PDL1,False,764,1300090,0.0005876516241183303
AR,No-NAC,TURBT,CD68+;PD1+;PDL1+,macrophage,PD1_PDL1,False,746,1300090,0.0005738064287856995
AR,No-NAC,RC,CD3+;CD8+;PD1+,cd8_t_cell,PD1,False,729,1300090,0.0005607304109715481
AR,No-NAC,RC,CD3+;CD8+;PD1-,cd8_t_cell,None,False,432,1300090,0.0003322846879831396
AR,PURE01,TURBT,PD1-,stroma,None,False,281182,837544,0.33572206355725787
AR,PURE01,TURBT,PD1-;PanCK+,tumor,None,False,206598,837544,0.2466712196612954
AR,PURE01,TURBT,PD1-;PDL1+,stroma,PDL1,False,67825,837544,0.08098082011213739
AR,PURE01,TURBT,CD68+;PD1-,macrophage,None,False,57618,837544,0.06879399768847964
AR,PURE01,TURBT,CD3+;PD1-,t_cell,None,False,47205,837544,0.05636121803750012
AR,PURE01,RC,PD1-,stroma,None,False,29096,837544,0.03473966740851824
AR,PURE01,TURBT,CD68+;PD1-;PDL1+,macrophage,PDL1,False,25338,837544,0.03025273896057998
AR,PURE01,TURBT,PD1+,stroma,PD1,False,20198,837544,0.024115747948764484
AR,PURE01,TURBT,CD3+;PD1-;PDL1+,t_cell,PDL1,False,17869,837544,0.02133499851948077
AR,PURE01,TURBT,CD3+;PD1+,t_cell,PD1,False,15193,837544,0.01813994249854336
AR,PURE01,RC,PD1-;PanCK+,tumor,None,False,14744,837544,0.017603851260351695
AR,PURE01,TURBT,PD1-;PDL1+;PanCK+,tumor,PDL1,False,12876,837544,0.0153735206747347
AR,PURE01,RC,CD68+;PD1-,macrophage,None,False,9555,837544,0.011408355859513053
AR,PURE01,TURBT,CD68+;PD1+,macrophage,PD1,False,7824,837544,0.009341598769736276
AR,PURE01,RC,CD3+;PD1-,t_cell,None,False,5714,837544,0.0068223281403723265
AR,PURE01,TURBT,CD3+;PD1+;PDL1+,t_cell,PD1_PDL1,False,3075,837544,0.0036714489029830073
AR,PURE01,TURBT,PD1+;PDL1+,stroma,PD1_PDL1,False,2687,837544,0.003208189659289542
AR,PURE01,TURBT,CD68+;PD1+;PDL1+,macrophage,PD1_PDL1,False,2390,837544,0.002853581423781915
AR,PURE01,TURBT,CD3+;CD8+;PD1-;PDL1+,cd8_t_cell,PDL1,False,2349,837544,0.002804628771742141
AR,PURE01,TURBT,CD3+;CD8+;PD1+,cd8_t_cell,PD1,False,1848,837544,0.0022064512431585683
AR,PURE01,TURBT,CD3+;CD8+;PD1+;PDL1+,cd8_t_cell,PD1_PDL1,False,1510,837544,0.0018028903556111678
AR,PURE01,RC,PD1-;PDL1+,stroma,PDL1,False,1058,837544,0.0012632172160507388
AR,PURE01,TURBT,CD3+;CD8+;PD1-,cd8_t_cell,None,False,725,837544,0.0008656261641179448
AR,PURE01,RC,CD3+;PD1+,t_cell,PD1,False,721,837544,0.0008608502956262596
AR,PURE01,RC,CD68+;PD1-;PDL1+,macrophage,PDL1,False,696,837544,0.0008310011175532271
AR,PURE01,RC,CD3+;PD1-;PDL1+,t_cell,PDL1,False,637,837544,0.0007605570573008701
AR,PURE01,RC,CD3+;CD8+;PD1-;PDL1+,cd8_t_cell,PDL1,False,400,837544,0.0004775868491685213
AR,PURE01,RC,CD3+;CD8+;PD1-,cd8_t_cell,None,False,144,837544,0.00017193126570066766
AR,PURE01,RC,PD1-;PDL1+;PanCK+,tumor,PDL1,False,138,837544,0.00016476746296313985
AR,PURE01,RC,PD1+,stroma,PD1,False,135,837544,0.00016118556159437592
